location,size,bhk,total_sqft,tot_sqft,bath,price,house_price,del_by_bath,bhk_blank,bath_blank,price_blank,del_by_sqft
Marathahalli,2 BHK,2,1205 ,1205,2,75,7500000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,1 BHK,1,660 ,660,1,75,7500000,save,FALSE,FALSE,FALSE,save
Dommasandra,2 BHK,2,1153 ,1153,2,43.5,4350000,save,FALSE,FALSE,FALSE,save
OMBR Layout,5 Bedroom,5,2400 ,2400,5,275,27500000,save,FALSE,FALSE,FALSE,save
Vijayanagar,2 BHK,2,1200 ,1200,2,62,6200000,save,FALSE,FALSE,FALSE,save
Vignana Nagar,3 BHK,3,1450 ,1450,3,42,4200000,save,FALSE,FALSE,FALSE,save
Budigere,2 BHK,2,1139 ,1139,2,60,6000000,save,FALSE,FALSE,FALSE,save
Green Glen Layout,3 BHK,3,1530 ,1530,3,105,10500000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1575 ,1575,3,101,10100000,save,FALSE,FALSE,FALSE,save
Whitefield,1 BHK,1,650 ,650,1,25,2500000,save,FALSE,FALSE,FALSE,save
Sai Gardens,2 BHK,2,1120 ,1120,2,40,4000000,save,FALSE,FALSE,FALSE,save
Akshaya Nagar,3 BHK,3,1700 ,1700,3,80,8000000,save,FALSE,FALSE,FALSE,save
Varthur,2 BHK,2,1090 ,1090,2,48,4800000,save,FALSE,FALSE,FALSE,save
Nelamangala,3 Bedroom,3,1200 ,1200,3,72,7200000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,700 ,700,2,40,4000000,save,FALSE,FALSE,FALSE,save
Thanisandra,2 BHK,2,1437 ,1437,2,71.13,7113000,save,FALSE,FALSE,FALSE,save
Ambedkar Nagar,3 BHK,3,1856 ,1856,3,120,12000000,save,FALSE,FALSE,FALSE,save
Singanayakanahalli,3 Bedroom,3,1500 ,1500,2,65,6500000,save,FALSE,FALSE,FALSE,save
Hennur Road,2 BHK,2,1036 ,1036,2,59.45,5945000,save,FALSE,FALSE,FALSE,save
Mico Layout,2 BHK,2,1125 ,1125,2,40,4000000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1320 ,1320,2,55.44,5544000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,660 ,660,1,16,1600000,save,FALSE,FALSE,FALSE,save
Marathahalli,3 BHK,3,1730 ,1730,3,110,11000000,save,FALSE,FALSE,FALSE,save
Talaghattapura,3 BHK,3,1804 ,1804,3,115,11500000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,1795 ,1795,3,140,14000000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,2 BHK,2,1050 ,1050,2,50,5000000,save,FALSE,FALSE,FALSE,save
Dasarahalli,3 BHK,3,2100 ,2100,3,120,12000000,save,FALSE,FALSE,FALSE,save
Rayasandra,3 BHK,3,1199 ,1199,2,48.5,4850000,save,FALSE,FALSE,FALSE,save
SBM Colony,3 Bedroom,3,1350 ,1350,2,280,28000000,save,FALSE,FALSE,FALSE,save
Vignana Nagar,2 BHK,2,1100 ,1100,2,47,4700000,save,FALSE,FALSE,FALSE,save
Udaya Nagar,2 Bedroom,2,1000 ,1000,1,75,7500000,save,FALSE,FALSE,FALSE,save
Kanakapura,3 BHK,3,1254 ,1254,2,70,7000000,save,FALSE,FALSE,FALSE,save
Electronics City Phase 1,2 BHK,2,940 ,940,2,49,4900000,save,FALSE,FALSE,FALSE,save
BTM 2nd Stage,2 BHK,2,1280 ,1280,2,80,8000000,save,FALSE,FALSE,FALSE,save
Whitefield,4 BHK,4,2155 ,2155,3,125,12500000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,5 Bedroom,5,3200 ,3200,5,140,14000000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,4 BHK,4,4260 ,4260,4,272,27200000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1255 ,1255,2,95,9500000,save,FALSE,FALSE,FALSE,save
Suraksha Nagar,3 BHK,3,1388 ,1388,3,69.99,6999000,save,FALSE,FALSE,FALSE,save
 Whitefield,1 RK,1,905 ,905,1,52,5200000,save,FALSE,FALSE,FALSE,save
VGP Layout,2 BHK,2,1176 ,1176,2,44,4400000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1390 ,1390,2,61.16,6116000,save,FALSE,FALSE,FALSE,save
Giri Nagar,4 Bedroom,4,2400 ,2400,4,400,40000000,save,FALSE,FALSE,FALSE,save
Sahakara Nagar,2 BHK,2,1160 ,1160,2,55,5500000,save,FALSE,FALSE,FALSE,save
Seegehalli,4 BHK,4,2800 ,2800,4,140,14000000,save,FALSE,FALSE,FALSE,save
5th Block Hbr Layout,4 Bedroom,4,1200 ,1200,4,205,20500000,save,FALSE,FALSE,FALSE,save
Marathahalli,3 BHK,3,1583 ,1583,3,115,11500000,save,FALSE,FALSE,FALSE,save
Jigani,3 BHK,3,1252 ,1252,3,63,6300000,save,FALSE,FALSE,FALSE,save
Rustam Bagh Layout,2 BHK,2,1170 ,1170,2,86,8600000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,3 BHK,3,1350 ,1350,2,51,5100000,save,FALSE,FALSE,FALSE,save
Gottigere,2 BHK,2,1075 ,1075,2,30,3000000,save,FALSE,FALSE,FALSE,save
Hosa Road,2 BHK,2,972 ,972,2,40,4000000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,3 BHK,3,1486 ,1486,3,83.22,8322000,save,FALSE,FALSE,FALSE,save
Cottonpet,2 BHK,2,850 ,850,2,75,7500000,save,FALSE,FALSE,FALSE,save
Binny Pete,3 BHK,3,1282 ,1282,3,178,17800000,save,FALSE,FALSE,FALSE,save
Hebbal,4 BHK,4,2790 ,2790,4,198,19800000,save,FALSE,FALSE,FALSE,save
Naganathapura,2 BHK,2,1103 ,1103,2,55,5500000,save,FALSE,FALSE,FALSE,save
Rayasandra,3 BHK,3,1577 ,1577,3,67,6700000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1465 ,1465,3,80.01,8001000,save,FALSE,FALSE,FALSE,save
Vimanapura,3 BHK,3,1600 ,1600,3,64,6400000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,1090 ,1090,2,45,4500000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1721 ,1721,3,80.86,8086000,save,FALSE,FALSE,FALSE,save
Seetharampalya,2 BHK,2,1100 ,1100,2,55,5500000,save,FALSE,FALSE,FALSE,save
Varthur,3 BHK,3,1450 ,1450,3,71,7100000,save,FALSE,FALSE,FALSE,save
Battarahalli,2 BHK,2,1071 ,1071,2,62,6200000,save,FALSE,FALSE,FALSE,save
Old Madras Road,3 BHK,3,2266 ,2266,3,169,16900000,save,FALSE,FALSE,FALSE,save
Kundalahalli Colony,3 BHK,3,2065 ,2065,3,130,13000000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1800 ,1800,3,90,9000000,save,FALSE,FALSE,FALSE,save
Defence Colony,2 BHK,2,1150 ,1150,2,125,12500000,save,FALSE,FALSE,FALSE,save
Hormavu,2 BHK,2,1123 ,1123,2,56,5600000,save,FALSE,FALSE,FALSE,save
Akshaya Nagar,3 BHK,3,1884 ,1884,3,98,9800000,save,FALSE,FALSE,FALSE,save
Lakshminarayana Pura,2 BHK,2,1145 ,1145,2,75,7500000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1328 ,1328,2,60,6000000,save,FALSE,FALSE,FALSE,save
Subramanyapura,2 BHK,2,950 ,950,2,55,5500000,save,FALSE,FALSE,FALSE,save
Thomas Town,2 BHK,2,1250 ,1250,2,59,5900000,save,FALSE,FALSE,FALSE,save
Pragathi Nagar,2 BHK,2,1115 ,1115,2,46,4600000,save,FALSE,FALSE,FALSE,save
Gollarapalya Hosahalli,3 BHK,3,1318 ,1318,3,54,5400000,save,FALSE,FALSE,FALSE,save
Kalyan nagar,2 BHK,2,1280 ,1280,2,48,4800000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1230 ,1230,2,59,5900000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,3 BHK,3,1420 ,1420,2,60,6000000,save,FALSE,FALSE,FALSE,save
Vidyaranyapura,2 BHK,2,1100 ,1100,2,54,5400000,save,FALSE,FALSE,FALSE,save
Harlur,3 BHK,3,1750 ,1750,3,136,13600000,save,FALSE,FALSE,FALSE,save
Shampura,2 BHK,2,700 ,700,1,35,3500000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,1050 ,1050,2,42,4200000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,1235 ,1235,2,90,9000000,save,FALSE,FALSE,FALSE,save
Yeshwanthpur,2 Bedroom,2,1200 ,1200,2,63,6300000,save,FALSE,FALSE,FALSE,save
Kengeri,2 BHK,2,900 ,900,2,30,3000000,save,FALSE,FALSE,FALSE,save
Thanisandra,2 BHK,2,1146 ,1146,2,38,3800000,save,FALSE,FALSE,FALSE,save
Yeshwanthpur,4 Bedroom,4,1200 ,1200,4,110,11000000,save,FALSE,FALSE,FALSE,save
Banashankari,1 BHK,1,2400 ,2400,1,200,20000000,save,FALSE,FALSE,FALSE,save
Devarachikkanahalli,1 BHK,1,615 ,615,1,24,2400000,save,FALSE,FALSE,FALSE,save
Mysore Road,2 BHK,2,1070 ,1070,2,49.65,4965000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,5 Bedroom,5,1538 ,1538,5,300,30000000,save,FALSE,FALSE,FALSE,save
Poorna Pragna Layout,3 BHK,3,1355 ,1355,2,58.25,5825000,save,FALSE,FALSE,FALSE,save
Venkatapura,4 BHK,4,3080 ,3080,2,285,28500000,save,FALSE,FALSE,FALSE,save
Kundalahalli,3 BHK,3,1800 ,1800,3,80,8000000,save,FALSE,FALSE,FALSE,save
Begur Road,3 BHK,3,1400 ,1400,2,50.06,5006000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,1123 ,1123,2,48,4800000,save,FALSE,FALSE,FALSE,save
Konanakunte,4 Bedroom,4,1200 ,1200,2,130,13000000,save,FALSE,FALSE,FALSE,save
Kengeri,2 BHK,2,787 ,787,2,31,3100000,save,FALSE,FALSE,FALSE,save
Kambipura,3 BHK,3,1082 ,1082,2,45,4500000,save,FALSE,FALSE,FALSE,save
Seegehalli,2 BHK,2,1096 ,1096,2,41,4100000,save,FALSE,FALSE,FALSE,save
R.T. Nagar,3 Bedroom,3,1140 ,1140,3,130,13000000,save,FALSE,FALSE,FALSE,save
Venugopal Reddy Layout,2 BHK,2,1130 ,1130,2,52,5200000,save,FALSE,FALSE,FALSE,save
Electronic City,1 BHK,1,550 ,550,1,12,1200000,save,FALSE,FALSE,FALSE,save
Mahadevpura,2 BHK,2,1058 ,1058,2,85,8500000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1269 ,1269,2,73,7300000,save,FALSE,FALSE,FALSE,save
Prithvi Layout,3 Bedroom,3,946 ,946,3,140,14000000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 BHK,3,1976 ,1976,3,65.21,6521000,save,FALSE,FALSE,FALSE,save
Kothanur,3 BHK,3,1820 ,1820,3,77,7700000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1329 ,1329,2,56,5600000,save,FALSE,FALSE,FALSE,save
Kathriguppe,3 BHK,3,1350 ,1350,2,80.99,8099000,save,FALSE,FALSE,FALSE,save
Nagarbhavi,4 Bedroom,4,1250 ,1250,3,175,17500000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1205 ,1205,2,40,4000000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1339 ,1339,2,71.5,7150000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,938 ,938,2,35,3500000,save,FALSE,FALSE,FALSE,save
Kuvempu Nagar,1 BHK,1,450 ,450,1,25,2500000,save,FALSE,FALSE,FALSE,save
BTM 2nd Stage,2 BHK,2,1100 ,1100,2,70,7000000,save,FALSE,FALSE,FALSE,save
Yelahanka,2 BHK,2,1060 ,1060,2,40,4000000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1125 ,1125,2,40,4000000,save,FALSE,FALSE,FALSE,save
Whitefield,1 BHK,1,810 ,810,1,21,2100000,save,FALSE,FALSE,FALSE,save
Bellandur,2 BHK,2,1060 ,1060,2,65,6500000,save,FALSE,FALSE,FALSE,save
Anandapura,4 Bedroom,4,1749 ,1749,4,90,9000000,save,FALSE,FALSE,FALSE,save
Sahakara Nagar,3 BHK,3,1200 ,1200,2,75,7500000,save,FALSE,FALSE,FALSE,save
Cleveland Town,2 BHK,2,1100 ,1100,2,85,8500000,save,FALSE,FALSE,FALSE,save
Rachenahalli,1 BHK,1,660 - 700,660 ,1,32.64,3264000,save,FALSE,FALSE,FALSE,save
Hoodi,3 BHK,3,1925 ,1925,3,110,11000000,save,FALSE,FALSE,FALSE,save
Kengeri,1 BHK,1,502 ,502,1,25,2500000,save,FALSE,FALSE,FALSE,save
Bommenahalli,3 Bedroom,3,3339 ,3339,3,250,25000000,save,FALSE,FALSE,FALSE,save
Begur,3 BHK,3,1475 ,1475,2,74,7400000,save,FALSE,FALSE,FALSE,save
Indra Nagar,3 BHK,3,1550 ,1550,3,258,25800000,save,FALSE,FALSE,FALSE,save
Peenya,2 BHK,2,966 ,966,2,49,4900000,save,FALSE,FALSE,FALSE,save
Haralur Road,2 BHK,2,1300 ,1300,2,75,7500000,save,FALSE,FALSE,FALSE,save
Bagalur Main Road,5 Bedroom,5,4400 ,4400,4,350,35000000,save,FALSE,FALSE,FALSE,save
Kogilu,3 BHK,3,1559 ,1559,3,120,12000000,save,FALSE,FALSE,FALSE,save
Vittasandra,2 BHK,2,1246 ,1246,2,63,6300000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,3 Bedroom,3,2790 ,2790,3,950,95000000,save,FALSE,FALSE,FALSE,save
Begur Road,3 BHK,3,1410 ,1410,2,53.58,5358000,save,FALSE,FALSE,FALSE,save
Varthur Road,4 Bedroom,4,1300 ,1300,3,75,7500000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1339 ,1339,2,58,5800000,save,FALSE,FALSE,FALSE,save
Channasandra,2 BHK,2,1104 ,1104,2,35.5,3550000,save,FALSE,FALSE,FALSE,save
Sultan Palaya,2 BHK,2,900 ,900,2,45,4500000,save,FALSE,FALSE,FALSE,save
3rd Phase JP Nagar,3 BHK,3,1550 ,1550,2,79,7900000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,1 BHK,1,670 ,670,1,35,3500000,save,FALSE,FALSE,FALSE,save
Jakkur,2 BHK,2,1483 ,1483,2,98,9800000,save,FALSE,FALSE,FALSE,save
Basapura,3 BHK,3,1540 ,1540,2,70,7000000,save,FALSE,FALSE,FALSE,save
Hennur,2 BHK,2,1255 ,1255,2,54.5,5450000,save,FALSE,FALSE,FALSE,save
Jayanagar,2 BHK,2,1036 ,1036,2,110,11000000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,3 BHK,3,1460 ,1460,2,75,7500000,save,FALSE,FALSE,FALSE,save
Devarachikkanahalli,2 BHK,2,1230 ,1230,2,58,5800000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1340 ,1340,2,60,6000000,save,FALSE,FALSE,FALSE,save
Yelenahalli,3 BHK,3,1600 ,1600,3,61.37,6137000,save,FALSE,FALSE,FALSE,save
Hegde Nagar,3 BHK,3,2162 ,2162,3,200,20000000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,919 ,919,2,40,4000000,save,FALSE,FALSE,FALSE,save
4th Phase JP Nagar,2 BHK,2,1070 ,1070,2,38.9,3890000,save,FALSE,FALSE,FALSE,save
Hosur Road,3 BHK,3,1733 ,1733,2,85,8500000,save,FALSE,FALSE,FALSE,save
Jigani,3 BHK,3,1221 ,1221,3,72,7200000,save,FALSE,FALSE,FALSE,save
kanakapura main road,2 BHK,2,1041 ,1041,2,36.44,3644000,save,FALSE,FALSE,FALSE,save
Ambalipura,4 BHK,4,2550 ,2550,4,149,14900000,save,FALSE,FALSE,FALSE,save
Shampura,3 BHK,3,1400 ,1400,3,70,7000000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1500 ,1500,2,78.25,7825000,save,FALSE,FALSE,FALSE,save
Akshaya Nagar,3 BHK,3,2061 ,2061,3,175,17500000,save,FALSE,FALSE,FALSE,save
Brookefield,5 Bedroom,5,2400 ,2400,5,325,32500000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1255 ,1255,2,95,9500000,save,FALSE,FALSE,FALSE,save
Malleshwaram,7 BHK,7,2425 ,2425,7,140,14000000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,2 BHK,2,1031 ,1031,2,55,5500000,save,FALSE,FALSE,FALSE,save
Balagere,2 BHK,2,1210 ,1210,2,74,7400000,save,FALSE,FALSE,FALSE,save
Anjanapura,2 BHK,2,950 ,950,2,40,4000000,save,FALSE,FALSE,FALSE,save
Nagaraja Garden,4 Bedroom,4,1376 ,1376,4,156,15600000,save,FALSE,FALSE,FALSE,save
Hosa Road,2 BHK,2,1161 ,1161,2,55.15,5515000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,2 BHK,2,1303 ,1303,2,44.17,4417000,save,FALSE,FALSE,FALSE,save
Thigalarapalya,2 BHK,2,1418 ,1418,2,105,10500000,save,FALSE,FALSE,FALSE,save
Kengeri Satellite Town,2 Bedroom,2,1200 ,1200,2,65,6500000,save,FALSE,FALSE,FALSE,save
Basavangudi,3 BHK,3,1825 ,1825,3,175,17500000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,2 BHK,2,1015 ,1015,2,48,4800000,save,FALSE,FALSE,FALSE,save
Mathikere,3 BHK,3,1150 ,1150,2,60,6000000,save,FALSE,FALSE,FALSE,save
Singasandra,2 BHK,2,1010 ,1010,2,40,4000000,save,FALSE,FALSE,FALSE,save
Reliaable Tranquil Layout,3 BHK,3,1508 ,1508,3,75,7500000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,2 BHK,2,1275 ,1275,2,87,8700000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,3 BHK,3,1460 ,1460,3,70,7000000,save,FALSE,FALSE,FALSE,save
Old Airport Road,2 BHK,2,946 ,946,2,58,5800000,save,FALSE,FALSE,FALSE,save
Vignana Nagar,2 BHK,2,1110 ,1110,2,58,5800000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 BHK,3,1832 ,1832,3,125,12500000,save,FALSE,FALSE,FALSE,save
Hebbal,2 BHK,2,1088 ,1088,2,61.45,6145000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,1564 ,1564,3,104,10400000,save,FALSE,FALSE,FALSE,save
Kadugodi,2 BHK,2,1030 ,1030,2,35.02,3502000,save,FALSE,FALSE,FALSE,save
9th Phase JP Nagar,2 BHK,2,660 ,660,2,27,2700000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,3 BHK,3,1700 ,1700,3,95,9500000,save,FALSE,FALSE,FALSE,save
Panathur,2 BHK,2,1205 ,1205,2,62.9,6290000,save,FALSE,FALSE,FALSE,save
Lottegolla Halli,3 BHK,3,1950 ,1950,3,90,9000000,save,FALSE,FALSE,FALSE,save
Devanahalli Int. Airport,2 BHK,2,1080 ,1080,2,62,6200000,save,FALSE,FALSE,FALSE,save
Ardendale,4 BHK,4,2800 ,2800,4,140,14000000,save,FALSE,FALSE,FALSE,save
Mailasandra,2 BHK,2,999 ,999,2,43.66,4366000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1300 ,1300,2,89.76,8976000,save,FALSE,FALSE,FALSE,save
HRBR Layout,2 BHK,2,1265 ,1265,2,78,7800000,save,FALSE,FALSE,FALSE,save
Attibele,2 BHK,2,1200 ,1200,2,42,4200000,save,FALSE,FALSE,FALSE,save
Bhoganhalli,4 BHK,4,1974 ,1974,4,106,10600000,save,FALSE,FALSE,FALSE,save
Chelekare,2 BHK,2,1180 ,1180,2,40,4000000,save,FALSE,FALSE,FALSE,save
Amruthahalli,3 BHK,3,1350 ,1350,2,63,6300000,save,FALSE,FALSE,FALSE,save
Kodichikkanahalli,3 BHK,3,1560 ,1560,2,65,6500000,save,FALSE,FALSE,FALSE,save
8th Block Jayanagar,2 Bedroom,2,2800 ,2800,2,650,65000000,save,FALSE,FALSE,FALSE,save
Hosakerehalli,2 BHK,2,1085 ,1085,2,41.23,4123000,save,FALSE,FALSE,FALSE,save
Vijayanagar,3 BHK,3,1300 ,1300,2,75,7500000,save,FALSE,FALSE,FALSE,save
Marathahalli,3 BHK,3,1600 ,1600,3,56,5600000,save,FALSE,FALSE,FALSE,save
Atmananda Colony,2 BHK,2,1127 ,1127,2,55,5500000,save,FALSE,FALSE,FALSE,save
Kengeri Satellite Town,2 BHK,2,795 ,795,2,32,3200000,save,FALSE,FALSE,FALSE,save
Nagarbhavi,3 BHK,3,1850 ,1850,3,88,8800000,save,FALSE,FALSE,FALSE,save
Bommasandra Industrial Area,2 BHK,2,1020 ,1020,2,29.45,2945000,save,FALSE,FALSE,FALSE,save
Doopanahalli,3 BHK,3,1475 ,1475,2,200,20000000,save,FALSE,FALSE,FALSE,save
Baba Nagar,3 Bedroom,3,1200 ,1200,3,96.25,9625000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1345 ,1345,2,47,4700000,save,FALSE,FALSE,FALSE,save
Kaikondrahalli,2 BHK,2,849 ,849,2,25.4,2540000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1706 ,1706,3,135,13500000,save,FALSE,FALSE,FALSE,save
Yelahanka,4 BHK,4,2100 ,2100,4,180,18000000,save,FALSE,FALSE,FALSE,save
Nagadevanahalli,3 BHK,3,1250 ,1250,2,65,6500000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1260 ,1260,3,63.58,6358000,save,FALSE,FALSE,FALSE,save
Horamavu Agara,3 BHK,3,1265 ,1265,2,65,6500000,save,FALSE,FALSE,FALSE,save
Abbigere,3 BHK,3,1260 ,1260,2,45,4500000,save,FALSE,FALSE,FALSE,save
Jalahalli,2 BHK,2,1045 ,1045,2,58,5800000,save,FALSE,FALSE,FALSE,save
Hebbal Kempapura,4 BHK,4,3895 ,3895,4,495,49500000,save,FALSE,FALSE,FALSE,save
 Rachenahalli,1 RK,1,385 - 440,385 ,1,19.8,1980000,save,FALSE,FALSE,FALSE,save
Bellandur,2 BHK,2,1100 ,1100,2,62,6200000,save,FALSE,FALSE,FALSE,save
Kudlu Gate,2 BHK,2,1113 ,1113,2,50,5000000,save,FALSE,FALSE,FALSE,save
Old Airport Road,4 BHK,4,2774 ,2774,4,208,20800000,save,FALSE,FALSE,FALSE,save
Varthur,2 BHK,2,1210 ,1210,2,60,6000000,save,FALSE,FALSE,FALSE,save
Kogilu,1 BHK,1,700 ,700,1,30.84,3084000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1155 ,1155,2,55.5,5550000,save,FALSE,FALSE,FALSE,save
Hoodi,2 BHK,2,1132 ,1132,2,89,8900000,save,FALSE,FALSE,FALSE,save
Hennur Road,2 BHK,2,1359 ,1359,2,104,10400000,save,FALSE,FALSE,FALSE,save
Byatarayanapura,4 BHK,4,2631 ,2631,3,200,20000000,save,FALSE,FALSE,FALSE,save
Kothanur,2 BHK,2,1145 ,1145,2,56,5600000,save,FALSE,FALSE,FALSE,save
5th Phase JP Nagar,1 BHK,1,600 ,600,1,30,3000000,save,FALSE,FALSE,FALSE,save
Laggere,1 Bedroom,1,1200 ,1200,1,125,12500000,save,FALSE,FALSE,FALSE,save
Mahalakshmi Puram,2 BHK,2,830 ,830,2,60,6000000,save,FALSE,FALSE,FALSE,save
HSR Layout,2 BHK,2,1009 ,1009,2,56,5600000,save,FALSE,FALSE,FALSE,save
Basavangudi,3 BHK,3,1800 ,1800,3,195,19500000,save,FALSE,FALSE,FALSE,save
Yelahanka,2 BHK,2,1226 ,1226,2,52.71,5271000,save,FALSE,FALSE,FALSE,save
Badrappa Layout,2 BHK,2,1500 ,1500,2,88,8800000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1363 ,1363,2,79,7900000,save,FALSE,FALSE,FALSE,save
Poorna Pragna Layout,3 Bedroom,3,1400 ,1400,2,240,24000000,save,FALSE,FALSE,FALSE,save
Bommasandra Industrial Area,2 BHK,2,1165 ,1165,2,33.64,3364000,save,FALSE,FALSE,FALSE,save
HSR Layout,4 Bedroom,4,2792 ,2792,4,220,22000000,save,FALSE,FALSE,FALSE,save
Kammanahalli,1 Bedroom,1,700 ,700,1,59,5900000,save,FALSE,FALSE,FALSE,save
Kaval Byrasandra,2 BHK,2,1060 ,1060,2,42,4200000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1200 ,1200,2,67,6700000,save,FALSE,FALSE,FALSE,save
"Off Sarjapur Road, ",3 BHK,3,1518 ,1518,3,76,7600000,save,FALSE,FALSE,FALSE,save
Nagappa Reddy Layout,3 BHK,3,1495 ,1495,2,75,7500000,save,FALSE,FALSE,FALSE,save
Sanjay nagar,2 BHK,2,1575 ,1575,2,90,9000000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,2 BHK,2,1440 ,1440,2,170,17000000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,3 BHK,3,1545 ,1545,3,69,6900000,save,FALSE,FALSE,FALSE,save
Kengeri,3 BHK,3,1470 ,1470,3,50,5000000,save,FALSE,FALSE,FALSE,save
Cooke Town,3 BHK,3,1500 ,1500,3,95,9500000,save,FALSE,FALSE,FALSE,save
BTM Layout,3 BHK,3,1450 ,1450,2,81,8100000,save,FALSE,FALSE,FALSE,save
Hosur Road,2 BHK,2,1179 ,1179,2,49,4900000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,3 BHK,3,1650 ,1650,3,110,11000000,save,FALSE,FALSE,FALSE,save
Chandapura,3 BHK,3,1095 ,1095,2,32,3200000,save,FALSE,FALSE,FALSE,save
Lal Bahadur Shastri Nagar,2 BHK,2,856 ,856,2,48,4800000,save,FALSE,FALSE,FALSE,save
Naganathapura,2 BHK,2,1143 ,1143,2,62,6200000,save,FALSE,FALSE,FALSE,save
Hebbal,2 BHK,2,1349 ,1349,2,97.8,9780000,save,FALSE,FALSE,FALSE,save
Anjanapura,3 BHK,3,1280 ,1280,2,45,4500000,save,FALSE,FALSE,FALSE,save
Malleshwaram,1 BHK,1,480 ,480,1,60,6000000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1216 ,1216,2,69.06,6906000,save,FALSE,FALSE,FALSE,save
Doddakallasandra,3 BHK,3,2493 ,2493,3,115,11500000,save,FALSE,FALSE,FALSE,save
Malleshwaram,2 BHK,2,1290 ,1290,2,120,12000000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1156 ,1156,2,42,4200000,save,FALSE,FALSE,FALSE,save
Thanisandra,2 BHK,2,1230 ,1230,2,44,4400000,save,FALSE,FALSE,FALSE,save
Volagerekallahalli,2 BHK,2,1070 ,1070,2,33.15,3315000,save,FALSE,FALSE,FALSE,save
Ramagondanahalli,2 BHK,2,1235 ,1235,2,49.3,4930000,save,FALSE,FALSE,FALSE,save
6th block Koramangala,2 BHK,2,1117 ,1117,2,110,11000000,save,FALSE,FALSE,FALSE,save
Kundalahalli,3 BHK,3,1724 ,1724,3,124,12400000,save,FALSE,FALSE,FALSE,save
